"year","school_type","level","region_name","la_name","perm_excl_rate","fixed_excl_rate","one_or_more_fixed_excl_rate","area"
"201415","total","Local authority","East Midlands","Nottinghamshire","0.03","4.97","2.04","Nottinghamshire"
"201415","total","Local authority","East Midlands","Nottingham","0.13","6.9","3.19","Nottingham"
"201415","total","Local authority","West Midlands","Shropshire","0.1","3.48","1.81","Shropshire"
"201415","total","Local authority","West Midlands","Telford and Wrekin","0.05","6.6","2.62","Telford and Wrekin"
"201415","total","Local authority","North West","Cheshire East","0.04","3.7","1.53","Cheshire East"
"201415","total","Local authority","North West","Cheshire West and Chester","0.05","4.13","1.71","Cheshire West and Chester"
"201415","total","Local authority","South West","Cornwall","0.11","2.62","1.5","Cornwall"
"201415","total","Local authority","North West","Cumbria","0.05","4.13","1.87","Cumbria"
"201415","total","Local authority","South West","Gloucestershire","0.13","3.55","1.85","Gloucestershire"
"201415","total","Local authority","East of England","Hertfordshire","0.03","3.34","1.82","Hertfordshire"
"201415","total","Local authority","South East","Isle of Wight","0.02","7.33","2.68","Isle of Wight"
"201415","total","Local authority","East Midlands","Lincolnshire","0.18","3.22","1.75","Lincolnshire"
"201415","total","Local authority","East of England","Norfolk","0.14","3.44","1.76","Norfolk"
"201415","total","Local authority","East Midlands","Northamptonshire","0.11","4.5","2.1","Northamptonshire"
"201415","total","Local authority","North East","Northumberland","0.1","3.37","1.97","Northumberland"
"201415","total","Local authority","South East","Oxfordshire","0.04","3.27","1.64","Oxfordshire"
"201415","total","Local authority","South West","Somerset","0.06","4.55","2.21","Somerset"
"201415","total","Local authority","East of England","Suffolk","0.08","3.72","1.68","Suffolk"
"201415","total","Local authority","South East","Surrey","0.04","2.92","1.46","Surrey"
"201415","total","Local authority","West Midlands","Warwickshire","0.07","3.59","1.9","Warwickshire"
"201415","total","Local authority","South East","West Sussex","0.08","3.03","1.52","West Sussex"
"201314","total","National",NA,NA,"0.06","3.5","1.86","England"
"201314","total","Region","North East",NA,"0.06","3.14","1.68","North East"
"201314","total","Region","North West",NA,"0.07","3.51","1.85","North West"
"201314","total","Region","Yorkshire and the Humber",NA,"0.04","4.42","2","Yorkshire and the Humber"
"201314","total","Region","East Midlands",NA,"0.09","3.65","1.88","East Midlands"
"201314","total","Region","West Midlands",NA,"0.09","3.54","2.03","West Midlands"
