"year","level","la_name","school_type","num_schools","headcount","perm_excl","perm_excl_rate","fixed_excl","fixed_excl_rate","one_plus_fixed","one_or_more_fixed_excl_rate"
"201617","Local authority","Gateshead","Special","6","571","0","0","33","5.78","19","3.33"
"201617","Local authority","Newcastle upon Tyne","Total","94","39390","50","0.13","1456","3.7","798","2.03"
"201617","Local authority","Newcastle upon Tyne","Primary","72","22696","4","0.02","224","0.99","97","0.43"
"201617","Local authority","Newcastle upon Tyne","Secondary","15","15902","45","0.28","1102","6.93","658","4.14"
"201617","Local authority","Newcastle upon Tyne","Special","7","792","x","x","130","16.41","43","5.43"
"201617","Local authority","North Tyneside","Total","77","30707","9","0.03","829","2.7","436","1.42"
"201617","Local authority","North Tyneside","Primary","55","16913","0","0","37","0.22","21","0.12"
"201617","Local authority","North Tyneside","Secondary","16","13094","9","0.07","778","5.94","404","3.09"
"201617","Local authority","North Tyneside","Special","6","700","0","0","14","2","11","1.57"
"201617","Local authority","South Tyneside","Total","58","21666","43","0.2","786","3.63","401","1.85"
"201617","Local authority","South Tyneside","Primary","45","12777","x","x","42","0.33","25","0.2"
"201617","Local authority","South Tyneside","Secondary","9","8413","41","0.49","721","8.57","358","4.26"
"201617","Local authority","South Tyneside","Special","4","476","0","0","23","4.83","18","3.78"
"201617","Local authority","Sunderland","Total","105","40234","29","0.07","1152","2.86","668","1.66"
"201617","Local authority","Sunderland","Primary","81","24038","12","0.05","250","1.04","108","0.45"
"201617","Local authority","Sunderland","Secondary","18","15505","17","0.11","742","4.79","503","3.24"
"201617","Local authority","Sunderland","Special","6","691","0","0","160","23.15","57","8.25"
"201617","Local authority","Isles Of Scilly","Total","1","266","0","0","0","0","0","0"
"201617","Local authority","Isles Of Scilly","Secondary","1","266","0","0","0","0","0","0"
